FINAL HEAT OF FORMATION =      -849.7746243361  time =       0.0000000000
  1       -0.2149241332      -1.1595741272      -0.2016375140
  1       -1.1210019277      -0.1765866293       0.2594373105
  1       -0.0558647586       0.0151959223      -0.1358442141
  1       -0.2622461885      -0.7381589961      -0.0781104246
FINAL HEAT OF FORMATION =      -849.7746049624  time =       1.8000000000
  6       -0.4639818636       1.1208935797       0.5254705258
  6       -1.1083243603      -0.3628971275       0.2081248027
  6        0.7755620528       0.3136621016      -0.0219939071
  6       -0.8047510436      -0.6476340788       0.0710764256
  6       -0.1060402024       1.6868619683      -0.0551662209
  6        2.6766622048       0.7134017395      -0.1504870850
  1        0.5307003978      -0.0962273319      -0.0737268959
  1        0.2107440593      -0.6325779673      -0.3510853639
  1       -0.2485643107      -1.1932798631      -0.1999395984
  1       -1.1452844835      -0.1715432683       0.2607928467
  1       -0.0442953247       0.0053621234      -0.1336028070
  1       -0.2724271260      -0.7360218757      -0.0794627224
FINAL HEAT OF FORMATION =      -849.7745996652  time =       1.9000000000
  6       -0.5688042721       1.2029375167       0.5254537800
  6       -1.1748628905      -0.3251944811       0.2186200163
  6        0.8558867979       0.3629991694      -0.0267137743
  6       -0.8361567607      -0.7059002138       0.0722794349
  6       -0.0245121745       1.7216723691      -0.0593626188
  6        2.6472889294       0.6852627905      -0.1471947781
  1        0.6274514153      -0.1212647243      -0.0728523100
  1        0.2335489226      -0.6943984048      -0.3617253523
  1       -0.2803260111      -1.2238539882      -0.1978288295
  1       -1.1663263515      -0.1667642142       0.2617786679
  1       -0.0327834486      -0.0042338000      -0.1313633808
  1       -0.2804041561      -0.7312620194      -0.0810908551
FINAL HEAT OF FORMATION =      -849.7745943450  time =       2.0000000000
  6       -0.6705980393       1.2834616383       0.5254713962
  6       -1.2396225220      -0.2894526876       0.2287342182
  6        0.9339374989       0.4092932420      -0.0317949427
  6       -0.8695222755      -0.7628035084       0.0737676702
  6        0.0569705056       1.7546650088      -0.0634826414
  6        2.6145676273       0.6550146123      -0.1436157788
  1        0.7207649662      -0.1458021377      -0.0720730418
  1        0.2552882539      -0.7534372515      -0.3719556312
  1       -0.3101610120      -1.2512504850      -0.1953141446
  1       -1.1840937197      -0.1622615109       0.2623938391
  1       -0.0213475877      -0.0135477074      -0.1291302518
  1       -0.2861836956      -0.7238792130      -0.0830006914
FINAL HEAT OF FORMATION =      -849.7745890714  time =       2.1000000000
  6       -0.7691549504       1.3623436503       0.5255232516
  6       -1.3024857770      -0.2557879988       0.2384451685
  6        1.0096149605       0.4524929222      -0.0372284452
  6       -0.9048573721      -0.8182998350       0.0755407132
  6        0.1383713615       1.7857852841      -0.0675208636
  6        2.5785452777       0.6227129443      -0.1397507567
  1        0.8104298470      -0.1697809866      -0.0713873909
  1        0.2759101476      -0.8095660788      -0.3817507204
  1       -0.3380256663      -1.2754303160      -0.1924055408
  1       -1.1985587276      -0.1580467519       0.2626381175
  1       -0.0100053810      -0.0225366734      -0.1269074059
  1       -0.2897837199      -0.7138861604      -0.0851961273
FINAL HEAT OF FORMATION =      -849.7745839076  time =       2.2000000000
  6       -0.8642901079       1.4394712569       0.5256086091
  6       -1.3633429887      -0.2243067776       0.2477333050
  6        1.0828271622       0.4925521537      -0.0430060147
  6       -0.9421672154      -0.8723444758       0.0775983153
  6        0.2196504862       1.8149794316      -0.0714727175
  6        2.5392832468       0.5884245482      -0.1356017210
  1        0.8962596036      -0.1931471920      -0.0707931125
  1        0.2953676685      -0.8626689094      -0.3910872641
